Ellipsoid Axis C X,,,,,
 ==================== ,,,,,
Ellipsoid Axis C X,Unit,Category,Collection,Time,ID
0.355002,µm,Surface,Ellipsoid Axis C,1,0
0.191916,µm,Surface,Ellipsoid Axis C,1,1
0.0569454,µm,Surface,Ellipsoid Axis C,1,2
-0.165589,µm,Surface,Ellipsoid Axis C,1,3
-0.338712,µm,Surface,Ellipsoid Axis C,1,4
0.716197,µm,Surface,Ellipsoid Axis C,1,5
-0.644709,µm,Surface,Ellipsoid Axis C,1,6
0.33137,µm,Surface,Ellipsoid Axis C,1,7
-0.901353,µm,Surface,Ellipsoid Axis C,1,8
-0.0128676,µm,Surface,Ellipsoid Axis C,1,9
-0.898661,µm,Surface,Ellipsoid Axis C,1,10
0.35458,µm,Surface,Ellipsoid Axis C,1,11
0.77912,µm,Surface,Ellipsoid Axis C,1,12
0.343927,µm,Surface,Ellipsoid Axis C,1,13
-0.0178309,µm,Surface,Ellipsoid Axis C,1,14
-0.317087,µm,Surface,Ellipsoid Axis C,1,15
0.683399,µm,Surface,Ellipsoid Axis C,1,16
-0.637185,µm,Surface,Ellipsoid Axis C,1,17
0.521225,µm,Surface,Ellipsoid Axis C,1,18
-0.00669106,µm,Surface,Ellipsoid Axis C,1,19
0.152179,µm,Surface,Ellipsoid Axis C,1,20
-0.827221,µm,Surface,Ellipsoid Axis C,1,21
0.34192,µm,Surface,Ellipsoid Axis C,1,22
0.277847,µm,Surface,Ellipsoid Axis C,1,23
0.170915,µm,Surface,Ellipsoid Axis C,1,24
0.873457,µm,Surface,Ellipsoid Axis C,1,25
0.0868476,µm,Surface,Ellipsoid Axis C,1,26
0.0239051,µm,Surface,Ellipsoid Axis C,1,27
-0.00977114,µm,Surface,Ellipsoid Axis C,1,28
0.880383,µm,Surface,Ellipsoid Axis C,1,29
-0.0404576,µm,Surface,Ellipsoid Axis C,1,30
-0.921166,µm,Surface,Ellipsoid Axis C,1,31
-0.0198539,µm,Surface,Ellipsoid Axis C,1,32
0.0704016,µm,Surface,Ellipsoid Axis C,1,33
-0.706098,µm,Surface,Ellipsoid Axis C,1,34
0.573939,µm,Surface,Ellipsoid Axis C,1,35
0.54108,µm,Surface,Ellipsoid Axis C,1,36
0.000572228,µm,Surface,Ellipsoid Axis C,1,37
0.231177,µm,Surface,Ellipsoid Axis C,1,38
-0.214914,µm,Surface,Ellipsoid Axis C,1,39
0.171987,µm,Surface,Ellipsoid Axis C,1,40
0.275541,µm,Surface,Ellipsoid Axis C,1,41
-0.226116,µm,Surface,Ellipsoid Axis C,1,42
0.742409,µm,Surface,Ellipsoid Axis C,1,43
0.442695,µm,Surface,Ellipsoid Axis C,1,44
-0.723914,µm,Surface,Ellipsoid Axis C,1,45
0.415074,µm,Surface,Ellipsoid Axis C,1,46
0.174983,µm,Surface,Ellipsoid Axis C,1,47
0.0826248,µm,Surface,Ellipsoid Axis C,1,48
0.779833,µm,Surface,Ellipsoid Axis C,1,49
-0.976264,µm,Surface,Ellipsoid Axis C,1,50
-0.387258,µm,Surface,Ellipsoid Axis C,1,51
-0.968468,µm,Surface,Ellipsoid Axis C,1,52
0.48374,µm,Surface,Ellipsoid Axis C,1,53
0.742022,µm,Surface,Ellipsoid Axis C,1,54
0.963067,µm,Surface,Ellipsoid Axis C,1,55
-0.0218564,µm,Surface,Ellipsoid Axis C,1,56
0.43104,µm,Surface,Ellipsoid Axis C,1,57
0.860335,µm,Surface,Ellipsoid Axis C,1,58
0.781536,µm,Surface,Ellipsoid Axis C,1,59
0.174938,µm,Surface,Ellipsoid Axis C,1,60
-0.0276334,µm,Surface,Ellipsoid Axis C,1,61
-0.03867,µm,Surface,Ellipsoid Axis C,1,62
0.0544407,µm,Surface,Ellipsoid Axis C,1,63
-0.0816623,µm,Surface,Ellipsoid Axis C,1,64
0.556359,µm,Surface,Ellipsoid Axis C,1,65
0.320292,µm,Surface,Ellipsoid Axis C,1,66
-0.0495617,µm,Surface,Ellipsoid Axis C,1,67
-0.0577033,µm,Surface,Ellipsoid Axis C,1,68
0.0282959,µm,Surface,Ellipsoid Axis C,1,69
0.961359,µm,Surface,Ellipsoid Axis C,1,70
0.592617,µm,Surface,Ellipsoid Axis C,1,71
-0.959407,µm,Surface,Ellipsoid Axis C,1,72
-0.839975,µm,Surface,Ellipsoid Axis C,1,73
-0.421922,µm,Surface,Ellipsoid Axis C,1,74
-0.754629,µm,Surface,Ellipsoid Axis C,1,75
-0.179374,µm,Surface,Ellipsoid Axis C,1,76
-0.204649,µm,Surface,Ellipsoid Axis C,1,77
0.0428794,µm,Surface,Ellipsoid Axis C,1,78
0.132241,µm,Surface,Ellipsoid Axis C,1,79
-0.346826,µm,Surface,Ellipsoid Axis C,1,80
0.543938,µm,Surface,Ellipsoid Axis C,1,81
-0.129282,µm,Surface,Ellipsoid Axis C,1,82
0.35878,µm,Surface,Ellipsoid Axis C,1,83
-0.0684365,µm,Surface,Ellipsoid Axis C,1,84
0.48268,µm,Surface,Ellipsoid Axis C,1,85
-0.215984,µm,Surface,Ellipsoid Axis C,1,86
-0.375222,µm,Surface,Ellipsoid Axis C,1,87
-0.512425,µm,Surface,Ellipsoid Axis C,1,88
0.296217,µm,Surface,Ellipsoid Axis C,1,89
-0.20469,µm,Surface,Ellipsoid Axis C,1,90
0.120765,µm,Surface,Ellipsoid Axis C,1,91
-0.493399,µm,Surface,Ellipsoid Axis C,1,92
-0.0851157,µm,Surface,Ellipsoid Axis C,1,93
-0.0927698,µm,Surface,Ellipsoid Axis C,1,94
-0.706667,µm,Surface,Ellipsoid Axis C,1,95
-0.55277,µm,Surface,Ellipsoid Axis C,1,96
0.194096,µm,Surface,Ellipsoid Axis C,1,97
-0.207371,µm,Surface,Ellipsoid Axis C,1,98
-0.396046,µm,Surface,Ellipsoid Axis C,1,99
0.628567,µm,Surface,Ellipsoid Axis C,1,100
-0.205082,µm,Surface,Ellipsoid Axis C,1,101
0.0882424,µm,Surface,Ellipsoid Axis C,1,102
-0.138385,µm,Surface,Ellipsoid Axis C,1,103
0.147947,µm,Surface,Ellipsoid Axis C,1,104
-0.366436,µm,Surface,Ellipsoid Axis C,1,105
0.38049,µm,Surface,Ellipsoid Axis C,1,106
-0.428105,µm,Surface,Ellipsoid Axis C,1,107
-0.349529,µm,Surface,Ellipsoid Axis C,1,108
-0.290365,µm,Surface,Ellipsoid Axis C,1,109
-0.031661,µm,Surface,Ellipsoid Axis C,1,110
0.0919633,µm,Surface,Ellipsoid Axis C,1,111
0.350018,µm,Surface,Ellipsoid Axis C,1,112
0.104793,µm,Surface,Ellipsoid Axis C,1,113
-0.352608,µm,Surface,Ellipsoid Axis C,1,114
-0.226269,µm,Surface,Ellipsoid Axis C,1,115
-0.0384732,µm,Surface,Ellipsoid Axis C,1,116
-0.176329,µm,Surface,Ellipsoid Axis C,1,117
-0.32751,µm,Surface,Ellipsoid Axis C,1,118
-0.294278,µm,Surface,Ellipsoid Axis C,1,119
0.155036,µm,Surface,Ellipsoid Axis C,1,120
-0.200954,µm,Surface,Ellipsoid Axis C,1,121
-0.140577,µm,Surface,Ellipsoid Axis C,1,122
-0.30676,µm,Surface,Ellipsoid Axis C,1,123
-0.234444,µm,Surface,Ellipsoid Axis C,1,124
0.401131,µm,Surface,Ellipsoid Axis C,1,125
0.269849,µm,Surface,Ellipsoid Axis C,1,126
0.651134,µm,Surface,Ellipsoid Axis C,1,127
0.0544725,µm,Surface,Ellipsoid Axis C,1,128
-0.0778114,µm,Surface,Ellipsoid Axis C,1,129
0.0315258,µm,Surface,Ellipsoid Axis C,1,130
-0.82719,µm,Surface,Ellipsoid Axis C,1,131
0.174737,µm,Surface,Ellipsoid Axis C,1,132
0.138852,µm,Surface,Ellipsoid Axis C,1,133
0.0780277,µm,Surface,Ellipsoid Axis C,1,134
-0.0150549,µm,Surface,Ellipsoid Axis C,1,135
0.484678,µm,Surface,Ellipsoid Axis C,1,136
0.193196,µm,Surface,Ellipsoid Axis C,1,137
-0.126703,µm,Surface,Ellipsoid Axis C,1,138
0.255617,µm,Surface,Ellipsoid Axis C,1,139
0.759054,µm,Surface,Ellipsoid Axis C,1,140
0.15407,µm,Surface,Ellipsoid Axis C,1,141
-0.0461227,µm,Surface,Ellipsoid Axis C,1,142
0.107845,µm,Surface,Ellipsoid Axis C,1,143
0.358324,µm,Surface,Ellipsoid Axis C,1,144
-0.696863,µm,Surface,Ellipsoid Axis C,1,145
-0.0898108,µm,Surface,Ellipsoid Axis C,1,146
-0.0491189,µm,Surface,Ellipsoid Axis C,1,147
-0.083247,µm,Surface,Ellipsoid Axis C,1,148
-0.497719,µm,Surface,Ellipsoid Axis C,1,149
-0.908475,µm,Surface,Ellipsoid Axis C,1,150
-0.100213,µm,Surface,Ellipsoid Axis C,1,151
0.712605,µm,Surface,Ellipsoid Axis C,1,152
0.315087,µm,Surface,Ellipsoid Axis C,1,153
-0.0351815,µm,Surface,Ellipsoid Axis C,1,154
0.243455,µm,Surface,Ellipsoid Axis C,1,155
-0.10451,µm,Surface,Ellipsoid Axis C,1,156
0.879002,µm,Surface,Ellipsoid Axis C,1,157
-0.167268,µm,Surface,Ellipsoid Axis C,1,158
0.267611,µm,Surface,Ellipsoid Axis C,1,159
-0.596986,µm,Surface,Ellipsoid Axis C,1,160
0.788564,µm,Surface,Ellipsoid Axis C,1,161
-0.23662,µm,Surface,Ellipsoid Axis C,1,162
-0.234383,µm,Surface,Ellipsoid Axis C,1,163
0.0196173,µm,Surface,Ellipsoid Axis C,1,164
0.514092,µm,Surface,Ellipsoid Axis C,1,165
-0.340688,µm,Surface,Ellipsoid Axis C,1,166
-0.166175,µm,Surface,Ellipsoid Axis C,1,167
0.00030199,µm,Surface,Ellipsoid Axis C,1,168
0.60048,µm,Surface,Ellipsoid Axis C,1,169
0.177232,µm,Surface,Ellipsoid Axis C,1,170
0.786782,µm,Surface,Ellipsoid Axis C,1,171
0.575922,µm,Surface,Ellipsoid Axis C,1,172
-0.709428,µm,Surface,Ellipsoid Axis C,1,173
0.87897,µm,Surface,Ellipsoid Axis C,1,174
-0.0340352,µm,Surface,Ellipsoid Axis C,1,175
0.170092,µm,Surface,Ellipsoid Axis C,1,176
0.287663,µm,Surface,Ellipsoid Axis C,1,177
-0.705636,µm,Surface,Ellipsoid Axis C,1,178
0.467367,µm,Surface,Ellipsoid Axis C,1,179
-0.720211,µm,Surface,Ellipsoid Axis C,1,180
0.0872385,µm,Surface,Ellipsoid Axis C,1,181
0.712379,µm,Surface,Ellipsoid Axis C,1,182
0.0299483,µm,Surface,Ellipsoid Axis C,1,183
-0.808321,µm,Surface,Ellipsoid Axis C,1,184
0.370817,µm,Surface,Ellipsoid Axis C,1,185
-0.274125,µm,Surface,Ellipsoid Axis C,1,186
0.159665,µm,Surface,Ellipsoid Axis C,1,187
0.899134,µm,Surface,Ellipsoid Axis C,1,188
0.292627,µm,Surface,Ellipsoid Axis C,1,189
-0.0586525,µm,Surface,Ellipsoid Axis C,1,190
0.988815,µm,Surface,Ellipsoid Axis C,1,191
0.726466,µm,Surface,Ellipsoid Axis C,1,192
-0.221367,µm,Surface,Ellipsoid Axis C,1,193
-0.608968,µm,Surface,Ellipsoid Axis C,1,194
-0.111645,µm,Surface,Ellipsoid Axis C,1,195
0.0925424,µm,Surface,Ellipsoid Axis C,1,196
