Ellipticity (oblate),,,,
 ==================== ,,,,
Ellipticity (oblate),Unit,Category,Time,ID
0.156469,,Surface,1,0
0.498407,,Surface,1,1
0.419464,,Surface,1,2
0.183238,,Surface,1,3
0.329502,,Surface,1,4
0.601022,,Surface,1,5
0.341106,,Surface,1,6
0.406345,,Surface,1,7
0.453432,,Surface,1,8
0.494645,,Surface,1,9
0.408002,,Surface,1,10
0.35131,,Surface,1,11
0.4099,,Surface,1,12
0.293002,,Surface,1,13
0.515943,,Surface,1,14
0.440761,,Surface,1,15
0.51216,,Surface,1,16
0.613114,,Surface,1,17
0.135266,,Surface,1,18
0.672062,,Surface,1,19
0.545949,,Surface,1,20
0.316236,,Surface,1,21
0.42226,,Surface,1,22
0.167488,,Surface,1,23
0.547952,,Surface,1,24
0.389373,,Surface,1,25
0.36999,,Surface,1,26
0.251142,,Surface,1,27
0.347931,,Surface,1,28
0.358239,,Surface,1,29
0.214444,,Surface,1,30
0.650568,,Surface,1,31
0.601007,,Surface,1,32
0.26783,,Surface,1,33
0.647443,,Surface,1,34
0.384717,,Surface,1,35
0.449528,,Surface,1,36
0.330404,,Surface,1,37
0.357709,,Surface,1,38
0.255722,,Surface,1,39
0.458172,,Surface,1,40
0.331787,,Surface,1,41
0.262759,,Surface,1,42
0.567337,,Surface,1,43
0.258693,,Surface,1,44
0.343087,,Surface,1,45
0.593923,,Surface,1,46
0.4057,,Surface,1,47
0.318903,,Surface,1,48
0.499493,,Surface,1,49
0.441345,,Surface,1,50
0.398946,,Surface,1,51
0.213697,,Surface,1,52
0.641897,,Surface,1,53
0.475546,,Surface,1,54
0.372393,,Surface,1,55
0.361229,,Surface,1,56
0.30462,,Surface,1,57
0.419357,,Surface,1,58
0.191278,,Surface,1,59
0.16521,,Surface,1,60
0.262505,,Surface,1,61
0.227417,,Surface,1,62
0.295621,,Surface,1,63
0.291225,,Surface,1,64
0.316733,,Surface,1,65
0.620205,,Surface,1,66
0.302497,,Surface,1,67
0.478899,,Surface,1,68
0.0316212,,Surface,1,69
0.237973,,Surface,1,70
0.518767,,Surface,1,71
0.498285,,Surface,1,72
0.317675,,Surface,1,73
0.390064,,Surface,1,74
0.498089,,Surface,1,75
0.179911,,Surface,1,76
0.397064,,Surface,1,77
0.241277,,Surface,1,78
0.243883,,Surface,1,79
0.180478,,Surface,1,80
0.308293,,Surface,1,81
0.460671,,Surface,1,82
0.646924,,Surface,1,83
0.608424,,Surface,1,84
0.217885,,Surface,1,85
0.137418,,Surface,1,86
0.642141,,Surface,1,87
0.459161,,Surface,1,88
0.541328,,Surface,1,89
0.466278,,Surface,1,90
0.244579,,Surface,1,91
0.185827,,Surface,1,92
0.212266,,Surface,1,93
0.240729,,Surface,1,94
0.669282,,Surface,1,95
0.361372,,Surface,1,96
0.398778,,Surface,1,97
0.191627,,Surface,1,98
0.56678,,Surface,1,99
0.253163,,Surface,1,100
0.119866,,Surface,1,101
0.603081,,Surface,1,102
0.193339,,Surface,1,103
0.308911,,Surface,1,104
0.25957,,Surface,1,105
0.477529,,Surface,1,106
0.392995,,Surface,1,107
0.465254,,Surface,1,108
0.109374,,Surface,1,109
0.377478,,Surface,1,110
0.426094,,Surface,1,111
0.258885,,Surface,1,112
0.326715,,Surface,1,113
0.32892,,Surface,1,114
0.104021,,Surface,1,115
0.267187,,Surface,1,116
0.833173,,Surface,1,117
0.335358,,Surface,1,118
0.636208,,Surface,1,119
0.244695,,Surface,1,120
0.239818,,Surface,1,121
0.205129,,Surface,1,122
0.389767,,Surface,1,123
0.560571,,Surface,1,124
0.332118,,Surface,1,125
0.284752,,Surface,1,126
0.180876,,Surface,1,127
0.269572,,Surface,1,128
0.529467,,Surface,1,129
0.269329,,Surface,1,130
0.332209,,Surface,1,131
0.323201,,Surface,1,132
0.284781,,Surface,1,133
0.459343,,Surface,1,134
0.12594,,Surface,1,135
0.714044,,Surface,1,136
0.312629,,Surface,1,137
0.357256,,Surface,1,138
0.447994,,Surface,1,139
0.544347,,Surface,1,140
0.33005,,Surface,1,141
0.347751,,Surface,1,142
0.24604,,Surface,1,143
0.490286,,Surface,1,144
0.28655,,Surface,1,145
0.350722,,Surface,1,146
0.265823,,Surface,1,147
0.460623,,Surface,1,148
0.34052,,Surface,1,149
0.38264,,Surface,1,150
0.250913,,Surface,1,151
0.660684,,Surface,1,152
0.427834,,Surface,1,153
0.301718,,Surface,1,154
0.237278,,Surface,1,155
0.219382,,Surface,1,156
0.476816,,Surface,1,157
0.580075,,Surface,1,158
0.357677,,Surface,1,159
0.50684,,Surface,1,160
0.509182,,Surface,1,161
0.366851,,Surface,1,162
0.245918,,Surface,1,163
0.304208,,Surface,1,164
0.268787,,Surface,1,165
0.642498,,Surface,1,166
0.659547,,Surface,1,167
0.293185,,Surface,1,168
0.382607,,Surface,1,169
0.183854,,Surface,1,170
0.284655,,Surface,1,171
0.517218,,Surface,1,172
0.545079,,Surface,1,173
0.402902,,Surface,1,174
0.371634,,Surface,1,175
0.457443,,Surface,1,176
0.533086,,Surface,1,177
0.609541,,Surface,1,178
0.441328,,Surface,1,179
0.332091,,Surface,1,180
0.289921,,Surface,1,181
0.346429,,Surface,1,182
0.219378,,Surface,1,183
0.516713,,Surface,1,184
0.52178,,Surface,1,185
0.282475,,Surface,1,186
0.230449,,Surface,1,187
0.620142,,Surface,1,188
0.369305,,Surface,1,189
0.435104,,Surface,1,190
0.339769,,Surface,1,191
0.3935,,Surface,1,192
0.299288,,Surface,1,193
0.68514,,Surface,1,194
0.153503,,Surface,1,195
0.515827,,Surface,1,196
