Sphericity,,,,
 ==================== ,,,,
Sphericity,Unit,Category,Time,ID
0.353947,,Surface,1,0
0.775622,,Surface,1,1
0.490601,,Surface,1,2
0.351052,,Surface,1,3
0.460437,,Surface,1,4
0.23915,,Surface,1,5
0.511414,,Surface,1,6
0.393315,,Surface,1,7
0.532214,,Surface,1,8
0.227043,,Surface,1,9
0.376164,,Surface,1,10
0.69026,,Surface,1,11
0.252187,,Surface,1,12
0.543074,,Surface,1,13
0.475465,,Surface,1,14
0.552468,,Surface,1,15
0.22949,,Surface,1,16
0.196882,,Surface,1,17
0.540438,,Surface,1,18
0.611906,,Surface,1,19
0.705495,,Surface,1,20
0.305624,,Surface,1,21
0.67935,,Surface,1,22
0.779658,,Surface,1,23
0.641491,,Surface,1,24
0.310291,,Surface,1,25
0.649892,,Surface,1,26
0.826728,,Surface,1,27
0.210311,,Surface,1,28
0.40143,,Surface,1,29
0.771383,,Surface,1,30
0.429907,,Surface,1,31
0.589133,,Surface,1,32
0.336994,,Surface,1,33
0.591124,,Surface,1,34
0.411241,,Surface,1,35
0.30375,,Surface,1,36
0.644918,,Surface,1,37
0.733899,,Surface,1,38
0.430677,,Surface,1,39
0.586935,,Surface,1,40
0.540506,,Surface,1,41
0.799507,,Surface,1,42
0.683956,,Surface,1,43
0.584528,,Surface,1,44
0.543543,,Surface,1,45
0.549532,,Surface,1,46
0.812408,,Surface,1,47
0.569036,,Surface,1,48
0.303507,,Surface,1,49
0.362772,,Surface,1,50
0.512303,,Surface,1,51
0.435912,,Surface,1,52
0.409712,,Surface,1,53
0.32181,,Surface,1,54
0.371196,,Surface,1,55
0.502904,,Surface,1,56
0.25787,,Surface,1,57
0.393106,,Surface,1,58
0.315895,,Surface,1,59
0.399785,,Surface,1,60
0.774945,,Surface,1,61
0.750953,,Surface,1,62
0.46411,,Surface,1,63
0.859533,,Surface,1,64
0.189333,,Surface,1,65
0.640745,,Surface,1,66
0.55989,,Surface,1,67
0.72195,,Surface,1,68
0.352524,,Surface,1,69
0.421081,,Surface,1,70
0.262303,,Surface,1,71
0.294588,,Surface,1,72
0.548148,,Surface,1,73
0.875996,,Surface,1,74
0.507904,,Surface,1,75
0.616225,,Surface,1,76
0.75339,,Surface,1,77
0.655613,,Surface,1,78
0.684412,,Surface,1,79
0.6115,,Surface,1,80
0.545967,,Surface,1,81
0.645453,,Surface,1,82
0.730577,,Surface,1,83
0.435777,,Surface,1,84
0.447999,,Surface,1,85
0.598332,,Surface,1,86
0.673125,,Surface,1,87
0.652745,,Surface,1,88
0.641146,,Surface,1,89
0.633529,,Surface,1,90
0.875969,,Surface,1,91
0.591483,,Surface,1,92
0.762787,,Surface,1,93
0.839782,,Surface,1,94
0.294458,,Surface,1,95
0.576954,,Surface,1,96
0.474323,,Surface,1,97
0.739162,,Surface,1,98
0.531059,,Surface,1,99
0.4757,,Surface,1,100
0.74936,,Surface,1,101
0.711932,,Surface,1,102
0.771891,,Surface,1,103
0.426817,,Surface,1,104
0.77743,,Surface,1,105
0.562033,,Surface,1,106
0.519068,,Surface,1,107
0.56282,,Surface,1,108
0.727095,,Surface,1,109
0.880357,,Surface,1,110
0.802146,,Surface,1,111
0.828024,,Surface,1,112
0.752143,,Surface,1,113
0.778237,,Surface,1,114
0.598415,,Surface,1,115
0.731408,,Surface,1,116
0.623068,,Surface,1,117
0.582777,,Surface,1,118
0.667047,,Surface,1,119
0.733553,,Surface,1,120
0.618911,,Surface,1,121
0.689682,,Surface,1,122
0.877812,,Surface,1,123
0.651896,,Surface,1,124
0.665839,,Surface,1,125
0.759736,,Surface,1,126
0.582697,,Surface,1,127
0.783886,,Surface,1,128
0.825903,,Surface,1,129
0.527418,,Surface,1,130
0.421459,,Surface,1,131
0.684214,,Surface,1,132
0.552661,,Surface,1,133
0.464864,,Surface,1,134
0.682257,,Surface,1,135
0.546065,,Surface,1,136
0.805316,,Surface,1,137
0.841744,,Surface,1,138
0.685819,,Surface,1,139
0.893833,,Surface,1,140
0.706174,,Surface,1,141
0.524639,,Surface,1,142
0.837749,,Surface,1,143
0.652465,,Surface,1,144
0.533501,,Surface,1,145
0.607293,,Surface,1,146
0.62467,,Surface,1,147
0.525485,,Surface,1,148
0.643513,,Surface,1,149
0.586288,,Surface,1,150
0.751281,,Surface,1,151
0.429266,,Surface,1,152
0.728906,,Surface,1,153
0.273949,,Surface,1,154
0.721295,,Surface,1,155
0.862532,,Surface,1,156
0.628155,,Surface,1,157
0.795239,,Surface,1,158
0.742315,,Surface,1,159
0.509182,,Surface,1,160
0.559868,,Surface,1,161
0.489438,,Surface,1,162
0.81948,,Surface,1,163
0.753131,,Surface,1,164
0.538457,,Surface,1,165
0.652153,,Surface,1,166
0.626731,,Surface,1,167
0.76599,,Surface,1,168
0.490788,,Surface,1,169
0.681427,,Surface,1,170
0.342457,,Surface,1,171
0.566266,,Surface,1,172
0.783678,,Surface,1,173
0.568704,,Surface,1,174
0.71894,,Surface,1,175
0.78485,,Surface,1,176
0.599072,,Surface,1,177
0.571451,,Surface,1,178
0.597698,,Surface,1,179
0.615815,,Surface,1,180
0.519782,,Surface,1,181
0.4299,,Surface,1,182
0.753969,,Surface,1,183
0.777528,,Surface,1,184
0.651644,,Surface,1,185
0.589943,,Surface,1,186
0.702706,,Surface,1,187
0.655138,,Surface,1,188
0.823037,,Surface,1,189
0.685386,,Surface,1,190
0.665328,,Surface,1,191
0.538528,,Surface,1,192
0.685344,,Surface,1,193
0.600407,,Surface,1,194
0.589,,Surface,1,195
0.610261,,Surface,1,196
